Mapping_ID,Category,Source_Document,Standard,Requirement_ID,Requirement_Text_Original
ORG-0088,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-05,"Ensure that security trainings are continuous, regular and frequently updated. 50 The current draft of the ISO/SAE 21434 standard provide a Development Interface Agreement (DIA) template example where for each work product, one can clearly mark each organisation as either responsible, approver, support, inform or consult."
ORG-0089,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-06,"Raise vehicle owners’, drivers’ and passengers’ awareness with respect to security issues and how to prevent them, on a regular basis. 4.3.3 Security Management"
ORG-0090,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-07,"Consider establishing an OEM Security Operations Center (SOC) with clearly defined roles, responsibilities and cybersecurity competences to centralize knowledge on cybersecurity, monitor and anticipate potential threats."
ORG-0091,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-08,"Designate one or several51 dedicated security team(s) with security specialists having diversified and broad range of competencies in security related topics (e.g. risk assessment, penetration testing, secure design, etc.)."
ORG-0092,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-09,Define a dedicated Information Security Management System (ISMS)52 that covers smart cars entire lifecycle.
ORG-0093,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-10,"Consider defining an internal task force, which involves board-level management, to guide security-related strategic decisions and facilitate accountability. 4.3.4 Incident Management"
ORG-0094,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-11,OEMs and 3rd party suppliers should establish an incident handling process that should be tested and revised at least annually and as soon as possible in the case of a major change.
ORG-0095,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-12,OEMs and 3rd party suppliers should consider establishing a Product Security Incident Response Team (PSIRT) and Computer Security Incident Response Team (CSIRT)53. Each team would be dedicated to handling security incidents respectively related to Products and Infrastructure and work along with the SOC if there is one.
ORG-0096,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-13,Report incidents to back-end servers to ensure that systems are secure over their lifetime.
ORG-0097,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-14,"Define and classify relevant cybersecurity incidents to enable the identification of the most critical incidents and their prioritization, based on their potential impacts or broader effect for instance."
ORG-0098,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,OP-15,"Consider establishing a secure and reliable process for detecting and handling misbehaving ITS stations, e.g. revoke credentials of misbehaving ITS stations. 4.4 TECHNICAL PRACTICES Besides to the policies and organisational practices listed above, a set of technical security measures should be implemented to protect both smart cars and the associated back-end systems. Hereinafter, we provide an overview of these technical practices which covers several aspects such as software security, cloud s"
ORG-0099,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-01,Adopt a security by design approach where smart cars cybersecurity is considered from both the vehicles as well as the infrastructure perspective.
ORG-0100,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-02,"Address security in each relevant specification document to ensure that security aspects are considered from the very beginning of the concept phase, and not as an afterthought."
ORG-0101,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-03,"Promote the use of methodologies that consider security in every stage of the development phase and operations phases (e.g. DevSecOps48, Secure Development Lifecycle (SDL)49, etc.)."
ORG-0102,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-04,"Consider including a security role within the product engineering team to lead security related tasks. 4.2.2 Privacy by design This security domain includes a set of security measures related to the protection of private data that are collected, processed and/or stored by smart cars stakeholders."
ORG-0103,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-05,"Consider applying local and international privacy related regulations, such as the GDPR, to prevent privacy issues."
ORG-0104,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-06,"Conduct Privacy Impact Assessments (PIA), taken into account the context of use, in order to identify any privacy related risk, and define appropriate countermeasures to mitigate it."
ORG-0105,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-07,"Perform Privacy Audits during smart cars development and over back-end systems on a regular basis, e.g. at least once year, in order to ensure compliance with privacy related policies. 4.2.3 Asset Management Hereinafter, security measures pertaining to assets discovery, monitoring, administration and maintenance are outlined."
ORG-0106,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-08,"Use tools supporting asset management that can automatically discover, identify and enumerate assets specific to the organization and smart cars ecosystem."
ORG-0107,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-09,"Ensure that the organization maintains a consistent and up-to-date asset inventory. 48 DevSecOps is short for Development, Security and Operations. It aims to implement security decisions and actions at the same scale and speed as development and operations decisions and actions. See https://www.forcepoint.com/cyber-edu/devsecops 49 See SAE J3061 “Cybersecurity Guidebook for Cyber-Physical Vehicle Systems”: https://www.sae.org/standards/content/j3061_201601/"
ORG-0108,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-10,"Introduce a new device or software change into the vehicle only according to an established, accepted and communicated change management process. 4.2.4 Risk and Threat Management This security domain gathers the security measures related to the process of risk and threat management."
ORG-0109,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-11,"Adopt an approach to risk management dedicated and suitable for automotive sector, considering emerging threats and attack scenarios targeting smart cars."
ORG-0110,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-12,"Perform a cybersecurity risk analysis from the very early stages of the design process, and which should be revised at least annually and upon any major change or in case of critical security vulnerability detection or critical security incident."
ORG-0111,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-13,"Monitor security vulnerabilities with a focus on vehicles that are on the market on a regular basis, e.g. every 6 months or more frequently based on risk assessment."
ORG-0112,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-14,"Conduct security evaluations, such as penetration testing, during the development phase and then, on a regular basis following an event driven approach, e.g. in the case of new threats or vulnerabilities and after major updates."
ORG-0113,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-15,Consider establishing a threat intelligence process in order to be informed on emerging attack types and sources as well as new relevant vulnerabilities.
ORG-0114,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-16,"Regularly assess the security controls at least once a year overall smart cars lifecycle, and deploy patches (after testing them) to mitigate vulnerabilities."
ORG-0115,Organization / Governance Policy,ENISA Smart Cars / Automotive Cybersecurity Guidelines,ENISA,PS-17,"Regularly check, at least every six months over smart cars lifecycle, that the security assumptions (e.g. operational environment assumptions) are still valid. In particular, consider defining procedure for communication and handling of end-of-life/out-of-warranty status for cybersecurity. 4.3 ORGANISATIONAL PRACTICES Organisational and governance processes are of utmost importance to ensure smart cars security. In what follows, a set of organisational rules and best practices are detailed. They"
